Código Dane,Código Dpto,Grupo,Educ_1_2021,Educ_2_2021,Educ_3_2021,Educ_4_2021,Salud_1_2021,Salud_2_2021,Salud_3_2021,Servi_1_2021,Servi_2_2021,Servi_3_2021,Servi_4_2021,Segur_1_2021,Segur_2_2021,Segur_3_2021
52001,52,C,0.6449,54.46,56.38,0.90,1.00,0.87,13.07,1.00,0.21,0.69,0.66,118.02,1.30,41.60
52019,52,G4,0.6963,52.44,51.92,0.46,0.82,0.82,21.41,1.00,0.03,0.53,0.30,8.59,0.00,5.37
52022,52,G5,0.7773,52.62,51.72,0.80,1.00,0.61,18.07,1.00,0.00,0.81,0.63,14.95,2.72,8.15
52036,52,G5,0.7356,51.42,51.55,0.52,0.81,0.91,22.95,1.00,0.00,1.00,0.16,2.33,1.16,18.60
52051,52,G5,0.5923,47.81,49.18,0.49,0.77,0.58,22.80,1.00,0.01,0.41,0.35,3.56,2.38,3.56
52079,52,G5,0.1528,38.42,42.06,0.23,0.65,0.81,21.98,0.61,0.01,0.69,0.62,4.07,6.37,3.36
52083,52,G5,0.5732,52.60,52.51,0.76,0.83,0.74,14.09,1.00,0.03,0.37,0.36,4.76,3.17,3.17
52110,52,G5,0.3342,51.47,52.55,0.54,0.82,0.80,15.66,0.95,0.04,0.64,0.37,8.78,1.25,7.53
52203,52,G5,0.4758,54.27,53.37,0.63,0.96,0.69,19.57,1.00,0.01,0.26,0.09,2.41,7.22,2.41
52207,52,G5,0.3252,52.32,52.50,0.49,0.65,1.00,23.79,1.00,0.01,0.89,0.57,4.37,0.00,4.37
52210,52,G5,0.3415,51.97,52.86,0.54,0.89,0.70,23.32,0.87,0.04,1.00,0.24,4.15,0.00,11.06
52215,52,G5,0.5385,48.99,49.12,0.52,0.92,0.83,19.39,1.00,0.01,0.73,0.57,4.52,0.00,0.65
52224,52,G5,0.3755,51.34,50.73,0.49,1.00,0.69,27.14,1.00,0.00,0.55,0.56,5.44,5.44,32.62
52227,52,G5,0.5595,50.51,51.00,0.48,0.90,0.87,20.81,0.92,0.01,0.53,0.33,9.45,1.62,5.67
52233,52,G4,0.699,48.05,51.07,1.14,1.00,1.00,18.59,0.91,0.00,0.82,0.54,5.20,12.14,15.61
52240,52,G4,0.3621,50.06,51.31,0.53,0.68,0.86,13.99,0.85,0.11,0.35,0.16,32.68,0.65,22.88
52250,52,G5,0.2383,38.02,42.02,0.37,0.99,0.67,28.47,0.72,0.01,0.66,0.66,2.22,6.65,6.65
52254,52,G5,0.5046,47.89,50.07,0.47,0.79,1.00,19.64,1.00,0.05,0.59,0.59,2.69,1.34,6.72
52256,52,G5,0.2205,45.98,47.61,0.43,0.60,0.78,22.32,1.00,0.01,0.23,0.23,1.66,7.46,1.66
52258,52,G5,0.5031,50.91,51.26,0.70,0.94,0.99,18.73,0.96,0.02,0.49,0.36,2.81,0.70,7.71
52260,52,G5,0.5315,52.57,53.62,0.61,0.92,0.92,13.29,1.00,0.09,1.00,0.23,8.69,3.62,15.94
52287,52,G5,0.3974,49.79,50.63,0.64,0.83,0.71,13.16,0.92,0.01,0.73,0.46,0.00,1.40,12.62
52317,52,G5,0.5549,52.45,53.67,0.55,0.91,0.79,20.84,1.00,0.02,0.75,0.23,13.45,0.52,4.14
52320,52,G5,0.4398,53.56,51.95,0.51,0.94,0.72,13.67,1.00,0.02,0.38,0.18,14.13,0.00,6.18
52323,52,G4,0.7704,55.15,57.61,0.79,0.79,0.88,13.51,1.00,0.03,1.00,0.64,8.53,0.00,2.84
52352,52,G4,0.5789,48.54,48.13,0.61,0.93,0.85,23.39,0.97,0.04,1.00,0.34,13.11,0.00,15.73
52354,52,G5,0.4834,50.51,51.29,0.61,0.74,0.81,19.22,1.00,0.04,0.56,0.19,18.81,0.00,12.09
52356,52,G2,0.5801,52.94,54.18,0.73,1.00,0.83,16.55,0.96,0.07,0.93,0.77,83.59,4.40,17.87
52378,52,G5,0.6521,49.10,50.55,0.68,0.84,0.97,14.58,1.00,0.07,0.40,0.26,7.51,0.54,5.90
52381,52,G5,0.5483,51.70,50.79,0.50,0.83,0.88,18.46,1.00,0.02,0.30,0.09,16.15,2.02,15.14
52385,52,G5,0.4869,48.27,51.00,0.55,0.68,0.96,18.95,1.00,0.09,0.42,0.42,15.46,4.64,6.18
52390,52,G5,0.269,37.16,38.09,0.39,0.81,0.79,33.22,0.70,0.00,0.00,0.00,1.34,5.36,0.00
52399,52,G5,0.5698,50.14,51.42,0.68,0.98,0.88,18.46,1.00,0.01,1.00,0.53,15.44,1.58,11.03
52405,52,G5,0.3803,47.61,47.90,0.76,0.94,1.00,19.77,0.73,0.01,0.40,0.40,3.14,18.81,10.45
52411,52,G5,0.5054,53.12,52.63,0.65,0.89,0.84,14.28,1.00,0.02,0.50,0.50,2.00,3.00,5.99
52418,52,G4,0.5862,51.24,52.62,0.53,0.99,0.84,15.02,1.00,0.07,0.58,0.58,4.32,3.24,18.35
52427,52,G5,0.0775,39.87,42.03,0.11,0.32,0.78,61.61,0.74,0.00,0.66,0.66,0.78,1.17,0.39
52435,52,G5,0.491,47.91,49.98,0.67,0.82,0.82,25.13,1.00,0.00,0.78,0.50,6.71,15.65,11.18
52473,52,G5,0.0993,42.00,46.24,0.31,0.58,0.80,34.77,0.58,0.01,0.55,0.00,3.18,1.59,0.00
52480,52,G2,0.5948,49.78,51.43,0.58,0.77,0.79,17.94,1.00,0.07,0.83,0.43,80.55,0.00,2.30
52490,52,G5,0.1677,38.70,42.13,0.35,0.85,0.76,26.49,0.73,0.00,0.57,0.57,1.19,10.32,2.38
52506,52,G5,0.4745,52.51,53.82,0.60,0.84,0.60,13.51,1.00,0.04,0.51,0.51,2.86,0.00,7.15
52520,52,G5,0.1439,40.32,44.42,0.33,0.48,0.89,29.83,0.58,0.00,0.85,0.72,3.53,4.24,3.53
52540,52,G5,0.4413,49.03,50.19,1.01,1.00,0.95,14.54,0.91,0.05,1.00,1.00,6.14,17.39,17.39
52560,52,G5,0.5948,52.84,52.22,0.80,1.00,0.82,10.64,1.00,0.00,0.93,0.40,9.94,0.99,19.89
52565,52,G5,0.4798,50.29,50.74,0.70,0.91,0.84,23.70,1.00,0.01,0.14,0.14,7.20,7.20,0.00
52573,52,G4,0.5279,53.39,53.33,0.68,0.95,0.84,19.46,1.00,0.01,0.85,0.84,9.57,1.20,2.39
52585,52,G4,0.6371,51.39,52.64,0.67,0.99,0.90,18.15,1.00,0.02,0.89,0.62,14.52,2.32,6.39
52612,52,G5,0.2454,42.67,45.96,0.36,1.00,0.88,23.15,0.49,0.00,0.10,0.10,6.48,7.48,4.99
52621,52,G5,0.1512,33.78,38.73,0.35,0.84,0.67,22.36,0.71,0.01,0.30,0.19,0.79,8.67,0.00
52678,52,G5,0.4308,51.38,52.36,0.61,1.00,1.00,19.39,0.85,0.02,0.91,0.26,4.69,12.26,8.29
52683,52,G5,0.5283,54.63,55.46,0.79,0.94,0.92,15.38,1.00,0.03,0.95,0.69,13.15,1.01,9.11
52685,52,G5,0.3555,56.93,55.73,0.54,0.77,0.88,24.02,1.00,0.04,0.80,0.21,7.63,0.00,1.09
52687,52,G5,0.5191,47.85,49.59,0.71,0.84,0.84,16.13,1.00,0.02,0.11,0.10,4.35,1.09,5.44
52693,52,G5,0.4623,52.31,53.44,0.56,0.88,0.97,11.40,1.00,0.03,0.20,0.20,6.09,3.38,2.70
52694,52,G5,0.4424,50.74,50.97,0.56,0.94,0.89,24.14,1.00,0.00,0.31,0.15,5.87,0.00,13.20
52696,52,G5,0.0759,33.07,40.27,0.34,0.62,0.53,49.22,0.73,0.00,0.41,0.41,1.51,2.27,2.27
52699,52,G5,0.2589,48.49,47.54,0.53,0.76,0.94,28.83,0.76,0.00,1.00,0.45,3.61,5.42,11.74
52720,52,G5,0.4612,51.00,51.82,0.78,0.81,0.72,17.39,1.00,0.01,1.00,0.62,8.30,0.00,6.92
52786,52,G5,0.6718,50.00,50.73,0.87,0.84,0.93,11.52,1.00,0.03,0.25,0.25,8.39,3.92,5.03
52788,52,G5,0.3973,52.06,52.18,0.56,0.67,0.93,20.93,1.00,0.02,1.00,0.28,15.77,0.00,9.76
52835,52,G4,0.2664,41.20,44.45,0.33,0.72,0.95,22.67,0.74,0.05,0.67,0.09,15.68,7.00,6.73
52838,52,G5,0.3549,51.83,51.97,0.55,0.98,0.87,16.93,1.00,0.03,0.40,0.20,30.52,0.67,11.89
52885,52,G5,0.5061,50.48,51.16,0.67,0.84,0.92,24.93,1.00,0.04,0.51,0.17,4.56,1.83,9.13
